,umur,produk,nilai_produk,jumlah_review,tempat_beli,jenis,kategori,tipe_kulit,waktu_pemakaian,penggunaan,kepuasan,warna_kulit,tone_kulit,value
2878,25 - 29,Pore Tightening & Oil Control Moist Serum,4.9,783,Watson,Serum \\u0026 Essence,Treatment,Oily,1 month - 3 months,1,5,Medium Light,Warm,1
2933,18 and Under,Magic Colour Lip Serum,4.7,201,Shopee,Lip Balm \\u0026 Treatments,Lips,Combination,3 months - 6 months,0,5,Medium Light,Neutral,1
2960,19 - 24,C White Night Moisturizer,4.2,485,Instagram,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium,Warm,1
2969,18 and Under,C White Lightening Serum,4.8,2366,Brand website,Serum \\u0026 Essence,Treatment,Combination,Less than 1 week,1,4,Medium Light,Neutral,1
2974,19 - 24,Hydrasoothe Sunscreen Gel SPF 45+++,4.4,79,Shopee,Sun Protection,Moisturizer,Combination,1 week - 1 month,1,5,Medium,Warm,1
2976,19 - 24,Let It Glow Hydraveil Primer Serum,4.4,243,Instagram,Corrector \\u0026 Primer,Face,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
2982,19 - 24,Ultralight Hydraglow Day Cream,3.7,4102,Brand website,Day Cream,Moisturizer,Combination,Less than 1 week,1,3,Medium Light,Neutral,0
2984,19 - 24,Anti Acne & Brightening Serum,4.4,625,Shopee,Acne Treatment,Treatment,Oily,Less than 1 week,1,5,Medium,Neutral,1
2988,19 - 24,Ultralight Hydraglow Day Cream,4.6,195,FD Flash Sale,Day Cream,Moisturizer,Oily,Less than 1 week,1,5,Medium,Neutral,1
3043,19 - 24,Anti Acne & Brightening Serum,4.1,691,Shopee,Acne Treatment,Treatment,Dry,1 month - 3 months,1,4,Medium,Warm,1
3046,19 - 24,C-White Perfect Radiance Night Moisturizer,3.7,190,Shopee,Night Cream,Moisturizer,Combination,Less than 1 week,1,5,Medium,Warm,1
3080,19 - 24,Anti Acne & Brightening Serum,4.7,40,Shopee,Acne Treatment,Treatment,Normal,Less than 1 week,1,5,Light,Neutral,1
3088,19 - 24,Skinfit Essence Toner,4.5,173,FD Try and Review,Toner,Cleanser,Normal,1 week - 1 month,1,5,Medium,Neutral,1
3089,25 - 29,Revitalizing Anti aging serum,4.1,65,FD Try and Review,Serum \\u0026 Essence,Treatment,Normal,Less than 1 week,1,5,Medium,Neutral,1
3102,19 - 24,Ultralight Hydraglow Day Cream,4.8,51,Shopee,Day Cream,Moisturizer,Normal,1 week - 1 month,1,5,Medium Light,Neutral,1
3107,19 - 24,C White Lightening Serum,5.0,78,Shopee,Serum \\u0026 Essence,Treatment,Normal,1 week - 1 month,1,4,Medium Light,Neutral,1
3119,25 - 29,Hydrasoothe Sunscreen Gel SPF 45+++,4.8,22,Shopee,Sun Protection,Moisturizer,Oily,1 week - 1 month,0,5,Medium Light,Neutral,1
